label,detail,labelDetails,documentation,kind
.Q.bv,build schema for tables missing from partitions,build schema for tables missing from partitions,.Q.bv[<`>],2
.Q.Cf,create empty nested char file,create empty nested char file,.Q.Cf[file],2
.Q.chk,fill HDB,fill HDB,.Q.chk[dir],2
.Q.cn,count partitioned table,count partitioned table,.Q.cn[partitioned table],2
.Q.D,partitions,partitions,.Q.D,2
.Q.dd,join symbols,join symbols,.Q.dd[sym|dir;sym],2
.Q.def,provide defaults for .Q.opt,provide defaults for .Q.opt,.Q.def[default dict;params dict],2
.Q.dpft,save table,save table,.Q.dpft[dir;partition date;column sym;table sym],2
.Q.dpfts,save table with sym,save table with sym,.Q.dpfts[dir;part;column sym;table sym;sym],2
.Q.dsftg,load process save,load process save,.Q.dsftg[(dir;part;sym);(dir;offset;length);column syms;(types;widths);v1],2
.Q.en,enumerate varchar cols,enumerate varchar cols,.Q.en[dir;table],2
.Q.ens,enumerate against domain,enumerate against domain,.Q.ens[dir;table;sym],2
.Q.f,format,format,.Q.f[int;number],2
.Q.fc,parallel on cut(apply parallel),parallel on cut(apply parallel),.Q.fc[v1;list],2
.Q.ff,append columns,append columns,.Q.ff[table;table],2
.Q.fk,foreign key,foreign key,.Q.fk[column sym],2
.Q.fmt,format,format,.Q.fmt[length;decimal;number],2
.Q.fps,streaming algorithm,streaming algorithm,.Q.fps[v1;file],2
.Q.fqk,if system and built-in functions,if system and built-in functions,.Q.fqk[string],2
.Q.fs,streaming algorithm,streaming algorithm,.Q.fs[v1;file],2
.Q.fsn,streaming algorithm,streaming algorithm,.Q.fsn[v1;file;chunk size],2
.Q.ft,apply simple,apply simple,.Q.ft[v1;keyed table],2
.Q.fu,apply unique,apply unique,.Q.fu[v1;list],2
.Q.gc,garbage collect,garbage collect,.Q.gc[],2
.Q.gz,GZip,GZip,.Q.gz[chars|bytes|(level;chars)|(level;bytes)],2
.Q.hdpf,save tables,save tables,.Q.hdpf[hdb handle;dir;part;column sym],2
.Q.hg,HTTP get,HTTP get,.Q.hg[url|string],2
.Q.host,hostname,hostname,.Q.host[ip int],2
.Q.hp,HTTP post,HTTP post,.Q.hp[url|string;MIME string;query string],2
.Q.id,sanitize,sanitize,.Q.id[sym|table],2
.Q.ind,partitioned index,partitioned index,.Q.ind[partitioned table;indices],2
.Q.j10,encode binhex,encode binhex,.Q.j10[string],2
.Q.j12,encode base64,encode base64,.Q.j12[string],2
.Q.k,version,version,.Q.k,6
.Q.l,load,load,.Q.l[file|dir],2
.Q.M,long infinity,long infinity,.Q.M,6
.Q.MAP,maps partitions,maps partitions,.Q.MAP[],2
.Q.nA,alphanums,alphanums,.Q.nA,6
.Q.opt,command parameters,command parameters,.Q.opt[strings|.z.x],2
.Q.P,segments,segments,.Q.P,6
.Q.par,locate partition,locate partition,.Q.par[dir;part;table sym],2
.Q.pd,modified partition locations,modified partition locations,.Q.pd,6
.Q.PD,partition locations,partition locations,.Q.PD,6
.Q.pf,partition field,partition field,.Q.pf,6
.Q.pn,partition counts,partition counts,.Q.pn,6
.Q.prf0,code profiler,code profiler,.Q.prf0[pid],2
.Q.pt,partitioned tables,partitioned tables,.Q.pt,6
.Q.pv,modified partition values,modified partition values,.Q.pv,2
.Q.PV,partition values,partition values,.Q.PV,2
.Q.qp,is partitioned,is partitioned,.Q.qp[table],2
.Q.qt,is table,is table,.Q.qt[table],2
.Q.res,keywords,keywords,.Q.res,6
.Q.s,plain text,plain text,.Q.s[any],2
.Q.s1,string representation,string representation,.Q.s1[any],2
.Q.sbt,string backtrace,string backtrace,.Q.sbt[backtrace object],2
.Q.sha1,SHA-1 encode,SHA-1 encode,.Q.sha1[string],2
.Q.trp,extend trap,extend trap,.Q.trp[v1;any;v2],2
.Q.ts,time and space,time and space,.Q.ts[v;args],2
.Q.ty,type,type,.Q.ty[list],2
.Q.u,is date based,is date based,.Q.u,6
.Q.V,table to dict,table to dict,.Q.V[table],2
.Q.v,value,value,.Q.v[file|sym],2
.Q.view,subview,subview,.Q.view[parts],2
.Q.vp,missing partitions,missing partitions,.Q.vp,6
.Q.w,memory stats,memory stats,.Q.w[],2
.Q.x,non-command parameters,non-command parameters,.Q.x,6
.Q.x10,decode binhex,decode binhex,.Q.x10[long],2
.Q.x12,decode base64,decode base64,.Q.x12[long],2
.Q.Xf,create file,create file,.Q.Xf[upper case char|type sym],2
.z.Z,local datetime,local datetime,.z.Z,6
.z.z,UTC datetime,UTC datetime,.z.z,6
.z.zd,zip defaults,zip defaults,.z.zd,6
